brain_region,gene_id,effect_size,p-value,power,t_stat
4012,2541,0.660989142355758,0.526,0.5164376226209823,2.0476622574696437
4013,1259,0.2450265361131138,0.547,0.15458474001403666,1.6296287913657184
4013,2541,0.6470468406479292,0.518,0.5023549586157487,2.0267549698754745
4014,1259,-0.03744508774734426,0.479,0.040832565254112496,-0.26160342721809193
4014,2541,0.5106605808779399,0.531,0.3668934776075571,1.4512210470235187
4023,1259,0.3417082022826226,0.538,0.22060609573822254,1.992712687594683
4023,2538,-0.39267913944660204,0.491,0.003929010525889565,-2.0985488639867365
4023,2539,0.25351550289351193,0.512,0.15980158402334455,0.6620758441143835
4023,2541,0.6461506841859854,0.527,0.501449345370277,2.034124152896248
4023,2881,-0.5140073880607858,0.447,0.0014750183420280116,-1.2624431742005704
4023,3335,0.6111937733022379,0.657,0.46614997723298945,5.000218647916226
4023,3336,0.28858581775345693,0.573,0.18254768731665005,0.9458762813382903
4023,3338,-0.8355123418181988,0.41,6.924759098836386e-05,-8.74953789090583
4023,4103,0.17223194025946742,0.523,0.11445890484032939,0.7937152212483455
4023,4855,-0.22461968961084006,0.55,0.013094148684267504,-0.7590525024027875
4023,36362,0.0076173874996906055,0.503,0.05205113994183841,0.04264944830268312
4024,1259,0.2763137270282432,0.554,0.17437012393870432,2.1872533595408115
4024,2538,-0.3153023637593205,0.469,0.006990044344249768,-1.7952777279974388
4024,2539,0.34393551037018916,0.512,0.22229420781342524,1.0373823336172012
4024,2541,0.7568877863278342,0.545,0.611720418688014,3.1569729965424407
4024,2881,-0.4957419366903982,0.445,0.001719758710968744,-1.5823426357026722
4024,3335,0.5622119172464326,0.623,0.41714957746636183,7.464210555471526
4024,3338,-0.939403359460631,0.391,2.225169172942465e-05,-9.97850744859805
4024,4103,0.14982200954660194,0.523,0.10373935103422549,0.7089151399990696
4024,4855,-0.21060931433662655,0.529,0.01436253226840234,-0.787519033518591
4024,36362,0.17182333107309397,0.535,0.11425669411042172,0.8842545610856642
4030,1259,0.3009119763875524,0.535,0.19099590782478448,2.472379877924501
4030,2538,-0.38933173932355614,0.478,0.004031304632150623,-1.9825770181453564
4030,2541,0.6751849567315809,0.524,0.5307508002265433,2.3900635581190133
4030,3338,-0.8715522464260201,0.389,4.7091812251820464e-05,-8.516733293130889
4030,36362,0.19761089453021985,0.513,0.12751720469215222,1.1404789518117133
4031,1259,0.3511379956637717,0.556,0.22780267466899484,3.598965028604957
4031,2538,-0.39312309041453297,0.479,0.003915619282283789,-2.0284227868497076
4031,2541,0.7063908917750908,0.526,0.5620343396539812,2.466781613562182
4031,3338,-0.8133681206865674,0.36,8.738234757510455e-05,-15.429294972897733
4039,1259,0.169644299700102,0.541,0.11318260950296644,2.227294474299548
4039,2541,0.5372992019088131,0.527,0.3926449744662104,1.6889414045234599
4045,1259,0.8442907458619053,0.632,0.6930329259082197,10.84272114091548
4045,2541,1.0293979832109252,0.523,0.8340826871487833,3.9069469142291555
4048,1259,0.7482660271577539,0.565,0.6033456232671792,4.243713040920557
4048,2541,0.8398806518565987,0.53,0.6891144760805031,2.50716353368455
4051,1259,0.7471241730570772,0.557,0.6022326823231308,4.214869682956061
4051,2538,-0.2653962951228832,0.495,0.009936481915903794,-1.438154932550264
4051,2541,0.8740750459928381,0.536,0.7188959279631529,2.9203057454248658
4060,1259,0.8973505486472522,0.592,0.7383343855391572,5.713170309700625
4060,2541,0.9503938756561332,0.552,0.7798771081657994,3.1385139105912034
4074,1259,0.6839833998340489,0.566,0.5396010393921458,5.786079382762224
4074,2541,0.7298841012878258,0.569,0.5853295405000671,3.0400203874491414
4079,1259,0.6073739635639678,0.567,0.46230221413086403,4.9760810194415965
4079,2541,0.5973353547405129,0.532,0.45220633548524325,1.6291069048028137
4087,1259,0.2900206208824645,0.536,0.18351902596048553,2.0221117102372674
4087,2541,0.6777357185868957,0.524,0.533318511282477,2.048263626233419
4088,1259,0.3335857870043515,0.61,0.21451188829275236,6.655598246057343
4088,2538,-0.3815124354548796,0.461,0.004279573843343765,-2.177416520172834
4088,2541,0.7129379185943601,0.573,0.568552650128486,2.8797052219061965
4098,1259,0.4230417640596342,0.567,0.2867449216589605,3.7086375657494646
4098,2541,0.8371413174568718,0.536,0.6866694577899696,2.6060735464644216
4099,1259,0.5376181857098372,0.543,0.39295636441507054,3.2013246724556907
4099,2538,-0.2647657621352052,0.49,0.009979750680947586,-1.870845412866809
4099,2541,0.934080659669034,0.573,0.7675245520018764,3.8821343312777516
4106,1259,0.6697882558071869,0.566,0.5253136798997879,4.8688842902737735
4106,2541,0.8231215486163326,0.556,0.6740267423494922,3.026900580424926
4107,1259,0.422139921477979,0.57,0.28596375303481825,3.6675470524293172
4107,2541,0.7904157491738438,0.54,0.6437500964900524,2.6775167069969803
4113,1259,0.6204963292698505,0.573,0.4755317921240729,4.766414475577107
4113,2541,0.8196892875570089,0.525,0.6708995464744252,2.3112451683220963
4114,1259,0.6362701607125638,0.594,0.49146391713990023,7.979511174823073
4114,2541,0.8556409467634417,0.56,0.7030144082546773,2.7031108635101546
4120,1259,0.7370686885075622,0.583,0.5923956377137908,5.565477680665343
4120,2541,0.9510285753341978,0.534,0.7803498921125167,3.420223992936354
4121,1259,0.6536109703422875,0.555,0.5089871454234727,3.8588804096962783
4121,2538,-0.2823950693609407,0.48,0.008829915372184693,-1.7517637421854453
4121,2541,0.8752698102451122,0.546,0.7199107177309221,2.7738410162279337
4135,1259,0.39270685689507856,0.546,0.26103246006724135,3.6344596461345806
4135,2538,-0.29141207715557266,0.475,0.00828784189498366,-1.4134186253697345
4135,2541,0.8903378645872012,0.545,0.7325521389163275,2.209366821334126
4135,3338,-0.7111346256083567,0.398,0.0002451250125325988,-7.034243036929143
4136,1259,0.4547146776698872,0.538,0.3147889836863409,2.8807718087480874
4136,2538,-0.3384959730946351,0.469,0.005904676540073317,-1.8250664217785642
4136,2541,0.732789155711175,0.547,0.5881902781176263,2.827876731139227
4136,3338,-0.8945970405466167,0.4,3.6633310804945474e-05,-11.179601526983333
4142,1259,0.42263644164602093,0.56,0.28639371149434734,3.0260709485507156
4142,2538,-0.23429160056445614,0.503,0.012275884265224302,-1.2871621661571035
4142,2541,0.7059545262799963,0.526,0.5615992357807926,2.69372709250172
4142,2881,-0.3973145687719734,0.462,0.0037911837064728005,-1.2968741226928289
4142,3335,0.619136500116359,0.665,0.47415952540466055,5.937639593760219
4142,3338,-0.7842661764175494,0.42,0.00011803638858498555,-7.442754003261788
4142,4103,0.14330874257054219,0.523,0.10076400330033286,0.6279492685635661
4142,36362,0.2025884387896707,0.543,0.13019436487404978,1.0509372188866286
4143,1259,0.19353237440547963,0.539,0.12535208592750813,1.6313066081089351
4143,2538,-0.3672437663291212,0.386,0.0047679459516738465,-2.7522496052791054
4143,2539,0.30375149931877476,0.518,0.19297521823026953,0.8986191766658733
4143,2541,0.5394597309136133,0.514,0.39475535992572053,1.705203280126175
4143,2881,-0.5384291098240541,0.457,0.0011972855314406061,-1.612978637655407
4143,3335,0.6867024904371396,0.571,0.5423320343854732,7.728593462659861
4143,3336,0.18827132889490522,0.564,0.12259701846088389,0.6672630080549314
4143,3338,-0.8308883939336661,0.419,7.271372987194269e-05,-7.452490594056719
4143,4103,-0.02935213472244776,0.514,0.04268933733111835,-0.12919069317002518
4143,4855,-0.11071940117660017,0.533,0.026823110049087773,-0.3587724865557005
4143,36362,0.25993553843215156,0.529,0.163821925874313,1.4575346565660332
4149,1259,0.58319376505979,0.566,0.43803407390091975,3.4525917740144565
4149,2538,-0.253181854601802,0.505,0.01080433523687152,-1.3849507556624328
4149,2541,0.6879901644775969,0.526,0.5436246003287036,2.3626496335140685
4149,3338,-0.6645746726465566,0.388,0.0003832118035523857,-4.892508780281918
4149,36362,0.3834450706117062,0.543,0.2534217640947245,2.1618872144074275
4150,1259,0.4205673997889628,0.554,0.28460403535104106,2.703826011230476
4150,2538,-0.36102534683867576,0.476,0.004995856826411793,-1.8323485145336875
4150,2541,0.634547960195806,0.543,0.489723581408644,2.1312939843459295
4150,3338,-0.5535577436488246,0.425,0.0010501080313408684,-3.4737330174056074
4151,1259,0.46441522574017174,0.559,0.32360298391194187,3.0479741789355037
4151,2538,-0.27400299060609923,0.486,0.0093619858982259,-1.5322192473089322
4151,2541,0.6494753715937289,0.527,0.5048089531835444,2.0968274082424263
4151,3338,-0.8064157099989322,0.413,9.393893453801816e-05,-6.130073157611486
4158,1259,0.5188602398519198,0.629,0.37476410493243095,6.561340497565008
4158,2541,0.6624397337753919,0.524,0.5179016953387554,2.2698972674913054
4160,1259,0.4608455041527075,0.55,0.32034786020684847,2.633288054742075
4160,2541,0.625714145403116,0.527,0.48079950398284843,1.846441152517025
4166,2541,0.6085244211149107,0.527,0.4634607700709126,2.091515198019475
4178,1259,0.4920971496611652,0.557,0.3492796996808043,3.3937016094829415
4178,2541,0.6570239408505382,0.532,0.5124342596739432,2.440958064546593
4186,1259,0.4021259686801959,0.551,0.26888957995468854,2.6447694232135284
4186,2541,0.9398563213399845,0.555,0.7719419614504188,3.050292901479765
4187,1259,0.3067696255208298,0.551,0.1950925653221608,2.3044331577754913
4187,2541,0.8019527112465278,0.55,0.6545485859714794,2.3652192720200396
4193,1259,0.14064390715955383,0.53,0.09956465993876651,1.1557319876833603
4193,2538,-0.37517117455731885,0.484,0.0044908262345580985,-2.0045574691085037
4193,2541,0.923037838265732,0.555,0.7589461390678617,3.133769055040468
4193,3338,-0.7752170313509318,0.404,0.0001294564848790536,-6.064176051895317
4194,1259,0.34955574641130277,0.548,0.22658610202165252,2.658969020446461
4194,2538,-0.29676994226401515,0.493,0.007979731527314793,-1.471396610504027
4194,2541,0.818912852212792,0.525,0.6701904178556161,2.0885813309985015
4194,3338,-1.037314354491123,0.407,7.139165214442578e-06,-26.397904067965236
4200,1259,0.47912740783963,0.558,0.3371565021376326,4.248447320478307
4200,2541,0.8085401239342225,0.528,0.6606578641034776,2.7338716781501238
4201,1259,0.4576117988190857,0.564,0.31741079598415123,3.376988870807493
4201,2541,0.7196135113092139,0.535,0.5751788295695199,2.4089346002146415
4214,1259,0.6018596063597308,0.576,0.4567532448681977,5.322877351368332
4214,2541,0.8847195284108075,0.536,0.727872903881028,3.2662988464062646
4223,1259,0.8342954050439609,0.551,0.6841204406006945,4.50733506576181
4223,2538,-0.25822154199187886,0.508,0.010438596639862907,-1.3353866362037785
4223,2541,0.8060773240754767,0.536,0.658378757616713,2.727985555572037
4223,3338,-0.7745955273460264,0.432,0.00013027760340011962,-5.237900919465059
4223,36362,-0.3971441785824672,0.461,0.003796172460269309,-1.8941351677429674
4224,1259,0.6857875533064669,0.553,0.5414133263019355,3.680769574335937
4224,2538,-0.2686080325073662,0.508,0.009718608061544787,-1.4350985679868402
4224,2541,0.5331578813747505,0.531,0.3886083504754001,1.3686633960669423
4224,3335,0.6040306939783612,0.652,0.45893709439144625,5.836847288890338
4224,3338,-0.6952164752992298,0.414,0.00028604166434587075,-4.992727491567205
4224,4103,0.38559288599390895,0.544,0.25517638234856255,1.7541353499209384
4224,36362,-0.5421099991523344,0.43,0.0011598379324222474,-2.849152855934226
4230,1259,0.36769972363769193,0.553,0.24075251404115838,1.906733993864582
4230,2541,0.5239429029501439,0.513,0.3796686566828257,1.483092846481556
4244,1259,0.39123469466869537,0.548,0.25981503656594285,2.335956102406754
4244,2538,-0.12353916322235328,0.507,0.024840188017629994,-0.618756664796629
4244,2541,0.4916392518236876,0.515,0.348849029646891,1.2715934585494417
4244,3338,-0.7242209469610095,0.422,0.0002156392501911908,-5.476801750741721
4245,1259,0.4598215075137256,0.554,0.3194165920626041,2.409595600722549
4245,2541,0.6264473963420926,0.547,0.48154000834541444,2.1656175352215077
4251,1259,0.7386696989663095,0.55,0.5939660917611325,4.432637471995865
4251,2538,-0.1845692959017012,0.49,0.017001170402095478,-0.9656786441423764
4251,2541,0.5576912597464809,0.514,0.41267699658789136,1.5731701834197738
4251,3338,-0.3086982573229593,0.442,0.007329592232117599,-1.794249939235152
4254,1259,0.5682684442913026,0.541,0.423157738674273,2.298581081673842
4254,2538,-0.0756985968897279,0.5,0.03291965777393435,-0.38057311911866076
4254,2541,0.0935818826614914,0.501,0.0800629430389922,0.25392832742574634
4254,3338,-0.4980105006902197,0.44,0.0016874766639657368,-8.292156480342838
4255,1259,1.2769680039440452,0.555,0.9441706511538912,5.979505319571859
4255,2541,0.2541678406627412,0.512,0.16020714435771377,0.6683660081083687
4256,1259,1.18169268309245,0.556,0.9118795391258576,5.059063496171252
4256,2538,-0.0877290682438251,0.489,0.030708418945421756,-0.35214745255562674
4256,2541,0.3226721921758262,0.515,0.20647788692464997,0.7133676017786406
4257,1259,1.0956541142376666,0.55,0.8721812588629042,4.249594257802056
4257,2541,0.3156053097366279,0.501,0.2013710640210079,0.6706833811509788
4258,1259,-0.011182993605683268,0.497,0.04710550602288022,-0.08824089939613229
