brain_region,gene_id,effect_size_8,p-value_8,power_8,t_stat_8,effect_size_16,p-value_16,power_16,t_stat_16,effect_size_32,p-value_32,power_32,t_stat_32,effect_size_64,p-value_64,power_64,t_stat_64,effect_size_128,p-value_128,power_128,t_stat_128,effect_size_256,p-value_256,power_256,t_stat_256,effect_size_512,p-value_512,power_512,t_stat_512,effect_size_1024,p-value_1024,power_1024,t_stat_1024
4012,2541,0.660989142355758,0.526,0.5164376226209823,2.0476622574696437,0.1914717792663135,0.54,0.18057126532602452,0.6806069812153257,0.0265650142959313,0.496,0.06708899623633535,0.13752863045468675,-0.022204551356966754,0.48,0.03433429505897778,-0.18170304971858184,0.19102609744575064,0.526,0.6931590406984118,2.2303384106602717,0.23316086279240264,0.506,0.9810436369908707,3.9333773480319074,0.16056842924534936,0.508,0.9763486314800927,4.053816232500779,0.2485092315651465,0.503,0.9999999999999991,9.128628395957993
4013,1259,0.2450265361131138,0.547,0.15458474001403666,1.6296287913657184,-0.26122576546548504,0.49,0.004089629014504048,-1.3087659651409143,-0.3447417187854019,0.483,0.0001899771955388152,-2.294726650096679,0.04437258126936659,0.509,0.09788960493421195,0.37367614702747926,0.018034489635026286,0.493,0.07466513657868856,0.23651550474552935,0.21380188619919277,0.515,0.9613758848331069,4.050320447644258,0.12934939279045726,0.512,0.8993948867103249,3.4455282028029175,0.07346619626759571,0.496,0.7594423128491555,2.8231515736735235
4013,2541,0.6470468406479292,0.518,0.5023549586157487,2.0267549698754745,0.2257257026818455,0.541,0.21699089430337215,0.8203577556113247,0.11131237752519908,0.509,0.15177614565599185,0.61916620594723,0.07789374769008037,0.482,0.15188602382248173,0.6865052946976092,0.264620675501753,0.515,0.9087307688027929,3.2296271711191795,0.3041016117182669,0.509,0.9993312318763926,5.3779310574915105,0.2848808528412593,0.499,0.9999999999426242,7.3491733356269,0.2265791838655801,0.503,0.9999999999997924,8.476261165514336
4014,1259,-0.03744508774734426,0.479,0.040832565254112496,-0.26160342721809193,-0.41912432821129403,0.487,0.0005776156384189601,-2.327927605284359,-0.4203957372359431,0.455,3.552994183719793e-05,-2.87453675040831,-0.14788798176986376,0.504,0.0024359424133836294,-1.2780974251906003,-0.0978769216528602,0.494,0.003013252705482805,-1.3032176621945206,0.14863274244770658,0.512,0.7663729218671009,2.7430631248346513,0.12246464240940574,0.511,0.8691822232726129,3.2250946778005383,0.008523623252289824,0.51,0.08498845875035355,0.32808241918631365
4014,2541,0.5106605808779399,0.531,0.3668934776075571,1.4512210470235187,0.043136753513357017,0.529,0.06944531692359612,0.14740427154391503,0.03570925636142706,0.498,0.0739176030322104,0.17230373503364485,-0.06966693566786453,0.487,0.014037019272327034,-0.5564961983726042,0.12083400187388285,0.515,0.38780019313223946,1.3206385778478715,0.2496604053817613,0.498,0.990334460409384,4.150161185358262,0.25652471024631657,0.515,0.99999999677192,6.31735629180148,0.17466658798308612,0.503,0.9999999886026835,6.295485759648239
4023,1259,0.3417082022826226,0.538,0.22060609573822254,1.992712687594683,-0.18197679859887173,0.484,0.009613386972261995,-0.9028501602941718,-0.23727779270461902,0.489,0.0015458781007617883,-1.5830006556714478,0.09370486438757071,0.508,0.18319707342405978,0.8198635654676617,-0.003795577784292737,0.498,0.04574713394704333,-0.049987500952860565,0.24153550310412616,0.504,0.9864277394119257,4.497684398436826,0.23302422530746783,0.507,0.9998531825739253,6.0404812278777325,0.1989482922606464,0.482,0.9999999999032073,7.315701302864601
4023,2538,-0.39267913944660204,0.491,0.003929010525889565,-2.0985488639867365,0.056813025917929555,0.505,0.07669513005640827,0.2696439400527762,0.11685447663985757,0.514,0.15909623988022892,0.7271437592166038,0.051557072725485244,0.501,0.10807868376104002,0.44994477777350417,0.0644261676715248,0.498,0.1788299719453712,0.7881364040951757,0.023595604943291,0.48,0.1023410437015726,0.4004205678819526,0.011143931126122724,0.486,0.08180553186147765,0.2655966157086464,0.008503702812004915,0.496,0.08488938427186554,0.2847241929504973
4023,2539,0.25351550289351193,0.512,0.15980158402334455,0.6620758441143835,-0.03463032250596339,0.503,0.03776064364428722,-0.12986313881843697,-0.026372689943042284,0.508,0.03666080881450606,-0.153479927702466,-0.03544797178873484,0.493,0.027088919900648323,-0.28703830018546783,-0.10269792396027738,0.523,0.002550457576456777,-1.169989401610991,-0.06600989392767213,0.488,0.003485597711417543,-1.0829273322149962,-0.04893134490350697,0.477,0.002974494867737598,-1.169416088161841,-0.00931405323860823,0.474,0.026025824720530277,-0.30147922500342084
4023,2541,0.6461506841859854,0.527,0.501449345370277,2.034124152896248,0.19005334046626693,0.545,0.17915059993741822,0.6895509843623159,0.09554783196291232,0.501,0.13219436081950864,0.5214712178109763,0.01066163722054852,0.478,0.05932419723143467,0.09153825121764998,0.2080701930758703,0.521,0.7569803930689997,2.5401189303680756,0.22093261073157497,0.511,0.9699914289513643,3.855115497777775,0.25354402839147416,0.503,0.9999999951829082,6.138973956068917,0.2655605182925126,0.5,1.0,9.355506284378388
4023,2881,-0.5140073880607858,0.447,0.0014750183420280116,-1.2624431742005704,-0.34148388511874633,0.494,0.0015782007472895376,-1.0966522399302554,-0.09025116297147907,0.539,0.01599966840342515,-0.47011945013666556,-0.058011139628004985,0.534,0.017689421345903567,-0.4492155572856412,-0.029386109370673284,0.552,0.02410262723264911,-0.31420747811803645,0.0412581822021069,0.533,0.16195058275065555,0.6492368250136258,0.007922379857736176,0.506,0.07134760369379145,0.1874631845994589,0.02193089024118588,0.509,0.17270517097381433,0.772913307484355
