brain_region,gene_id,effect_size,p-value,power,t_stat
4012,2541,0.0265650142959313,0.496,0.06708899623633535,0.13752863045468675
4013,1259,-0.3447417187854019,0.483,0.0001899771955388152,-2.294726650096679
4013,2541,0.11131237752519908,0.509,0.15177614565599185,0.61916620594723
4014,1259,-0.4203957372359431,0.455,3.552994183719793e-05,-2.87453675040831
4014,2541,0.03570925636142706,0.498,0.0739176030322104,0.17230373503364485
4023,1259,-0.23727779270461902,0.489,0.0015458781007617883,-1.5830006556714478
4023,2538,0.11685447663985757,0.514,0.15909623988022892,0.7271437592166038
4023,2539,-0.026372689943042284,0.508,0.03666080881450606,-0.153479927702466
4023,2541,0.09554783196291232,0.501,0.13219436081950864,0.5214712178109763
4023,2881,-0.09025116297147907,0.539,0.01599966840342515,-0.47011945013666556
4023,3335,0.19855385965761657,0.497,0.29248056487634033,1.2447088775962176
4023,3336,0.42668043542040457,0.565,0.7628797020692445,2.759461729039885
4023,3338,-0.23679425810533317,0.486,0.0015593614321101068,-1.870997777170992
4023,4103,-0.04190779265133849,0.513,0.030271893930353566,-0.22475396270053757
4023,4855,0.2080445865343103,0.52,0.3107776036333372,1.4550303989005948
4023,36362,-0.1276941133445054,0.507,0.009343789945220893,-1.2080800338285995
4024,1259,-0.28654351902698616,0.469,0.0006161549224427132,-2.298991202724141
4024,2538,0.07006040712507393,0.51,0.10435540404729093,0.43871234321372715
4024,2539,-0.012890551308147223,0.501,0.043062690649868784,-0.07700746368087602
4024,2541,0.13110506806482394,0.497,0.178962126888369,0.7659719759394407
4024,2881,-0.10404265068470805,0.509,0.01318336090428851,-0.6403614323235325
4024,3335,0.26971430157619,0.486,0.43939550729020027,1.7956289307488515
4024,3338,-0.21322786914247888,0.479,0.002361899829258607,-1.7065055309261041
4024,4103,-0.05443910341500076,0.501,0.02581672176388239,-0.32223643089104853
4024,4855,0.24921262460731922,0.517,0.39515490806537223,1.7945508329606599
4024,36362,0.05054193803160646,0.524,0.08610557230276616,0.43260907962309436
4030,1259,-0.23923892334862734,0.484,0.0014922749805208468,-1.7990643575467917
4030,2538,0.07008272178306751,0.513,0.1043777601120579,0.43692766500428976
4030,2541,0.07289137684661896,0.505,0.10721939084848453,0.4003040437739446
4030,3338,-0.10028303429053842,0.495,0.013905071162148785,-0.8047978449893225
4030,36362,-0.04720099723210683,0.513,0.028317845465488656,-0.3976093358096308
4031,1259,-0.10524572833265582,0.488,0.012959354409925128,-0.8340083037003667
4031,2538,0.10452468143359225,0.514,0.14312039243812114,0.6296999532116149
4031,2541,0.16566352681298774,0.502,0.23327053542741338,0.9499732080736681
4031,3338,-0.1958337690145154,0.461,0.0031765859485068937,-1.6051051565283343
4039,1259,-0.40107788939373645,0.458,5.538698062201863e-05,-3.2335715688758913
4039,2541,-0.02603117726299692,0.49,0.03681278356392337,-0.142616497892897
4045,1259,0.1861179307894244,0.475,0.2692929509122014,1.4376010572746334
4045,2541,0.45021465640702646,0.519,0.8011472295305208,2.460613890703535
4048,1259,0.08315426949967573,0.488,0.11807604058131382,0.5383535076318354
4048,2541,0.2608865007059834,0.506,0.42021913629967145,1.418674064128903
4051,1259,0.12441230338226984,0.485,0.1694452467874097,0.8937015318317733
4051,2538,0.06309427395326987,0.515,0.09754489763931118,0.4092313203972054
4051,2541,0.2610562551633137,0.51,0.4205862635586439,1.4439878533931114
4060,1259,0.30693251875655353,0.5,0.5212773973051671,2.3309624552308965
4060,2541,0.3811813833883213,0.519,0.678674555522126,2.1183154552347885
4074,1259,0.09230273545631648,0.476,0.12838991862035454,0.8268454396991124
4074,2541,0.2280586653012041,0.514,0.35088651377824953,1.410988909018558
4079,1259,-0.030339185222649303,0.478,0.03493300523232201,-0.20800040891526428
4079,2541,0.09903362085002665,0.496,0.13636675308602308,0.5419733941153141
4087,1259,-0.32068330939147055,0.478,0.00031267428234682537,-2.1629669080828395
4087,2541,0.15672993674894004,0.507,0.21841838533447266,0.7973376891998444
4088,1259,-0.18118045178862197,0.463,0.004050414429982108,-1.6109643631281667
4088,2538,0.11781412850200956,0.521,0.1603868645818286,0.7449812505807674
4088,2541,0.2375801812511998,0.485,0.3706031908620737,1.505309596370799
4098,1259,-0.1834348270783503,0.468,0.0039033156754765264,-1.404259339326366
4098,2541,0.2248563452217727,0.509,0.34434138439589823,1.1626946846916746
4099,1259,-0.10221887824023,0.465,0.013529314360997136,-0.7787710029950062
4099,2538,0.14753603096625112,0.507,0.20371787131878827,0.9860838932455389
4099,2541,0.34821266028962156,0.519,0.6109014539449621,2.0052316645894663
4106,1259,0.05795194219796419,0.477,0.09273061968272234,0.43577369048790154
4106,2541,0.24975933355194,0.508,0.3963199559727073,1.4205998943752192
4107,1259,-0.10924367290402384,0.486,0.012238433182358843,-0.8260039355822303
4107,2541,0.16510965122863164,0.505,0.2323337219987549,0.8674841032444437
4113,1259,-0.0165175278925329,0.48,0.04125758274186975,-0.11800730798681236
4113,2541,0.256169614676347,0.515,0.41004675182168304,1.3479745251563187
4114,1259,-0.1959795882915997,0.466,0.0031688168658354776,-1.4114783032465177
4114,2541,0.2896030299343671,0.515,0.4830535931387375,1.629040022425969
4120,1259,0.10126826807926194,0.474,0.1390884521949246,0.7596670767484587
4120,2541,0.37886972343847736,0.507,0.6740815888438529,2.142683261859977
4121,1259,-0.013182763207744549,0.479,0.04291493616366182,-0.08813450949987424
4121,2538,0.06316902832791689,0.513,0.09761620947483052,0.37909371039419093
4121,2541,0.29940872992605544,0.517,0.5046856826867452,1.5563224896191534
4135,1259,-0.2465180031428879,0.467,0.0013078131687516148,-1.756143867342847
4135,2538,0.11361813915016793,0.518,0.1547940081660648,0.6455900227171266
4135,2541,0.30999367289678237,0.509,0.5280189727060979,1.5063386485243258
4135,3338,0.05964726689209192,0.521,0.09429798651170462,0.43350739814165107
4136,1259,-0.08633423743758668,0.476,0.01688800815208047,-0.6267775744774196
4136,2538,0.1214733140632863,0.525,0.1653706304668482,0.7711570422553393
4136,2541,0.13452879503280316,0.507,0.1839580370795666,0.7519971995215632
4136,3338,0.008150372373495134,0.502,0.054827699262938845,0.06098855250137534
4142,1259,-0.13034008731228297,0.492,0.008982126934805157,-0.9789586012039491
4142,2538,0.07812066245111159,0.512,0.11265779635659479,0.4954592497553831
4142,2541,0.08130309275140317,0.509,0.11606237655302543,0.45301853966147343
4142,2881,0.029668049304712344,0.519,0.06934934240748503,0.17638732112891317
4142,3335,0.21397722043471035,0.487,0.3224613031828306,1.3159579354937034
4142,3338,0.029094975275677473,0.508,0.06892754021245995,0.22368397006926433
4142,4103,-0.07246723633053483,0.502,0.02037955919910328,-0.4093922114866437
4142,36362,0.0899350970701744,0.532,0.125662569407325,0.8093655095462596
4143,1259,-0.35769952593692755,0.484,0.00014425563814612907,-2.625282194375834
4143,2538,-0.04755912377998125,0.492,0.02818951944927839,-0.3171378804624073
4143,2539,-0.17203528460348205,0.498,0.00469932498907466,-0.9540750930609636
4143,2541,-0.06588850963183113,0.501,0.022239150679138397,-0.3603741186257798
4143,2881,-0.1218527670858186,0.511,0.010187598801778663,-0.6991254729231349
4143,3335,0.2808787421678331,0.493,0.46384667911121125,1.856293154978796
4143,3336,0.37916346617774616,0.572,0.6746667046920986,2.583677731432607
4143,3338,0.0355421198663275,0.513,0.0737881985094826,0.2697264961062064
4143,4103,-0.23939673774651912,0.499,0.001488036060368736,-1.3786148618361078
4143,4855,0.23960890592590342,0.511,0.3748504928893388,1.6349938066680887
4143,36362,0.02837731268534813,0.533,0.06840210741403818,0.22508622620944838
4149,1259,0.1109477552239303,0.497,0.15130251819735208,0.8176851289104629
4149,2538,0.08758428193071699,0.524,0.12299483660132426,0.560581344898474
4149,2541,0.06814037564055955,0.497,0.102444779708456,0.3568448479229929
4149,3338,0.11827149576041165,0.519,0.16100437217838193,0.899489693440851
4149,36362,0.12117041108294396,0.541,0.1649543176573871,0.9318026753895552
4150,1259,-0.15216607447205613,0.482,0.006437784161549276,-1.0945182099483475
4150,2538,0.06511424391808993,0.516,0.09948530257528976,0.4045099782046859
4150,2541,0.059319978860669934,0.497,0.09399388954560639,0.3306668917596747
4150,3338,0.12184102984952672,0.516,0.16587693499870126,0.9523402233994752
4151,1259,-0.0849498984505033,0.495,0.017211897597969927,-0.5830281968332881
4151,2538,0.09792735063194596,0.513,0.1350329341228217,0.6355257151561641
4151,2541,0.012089000236338715,0.496,0.0572891000169693,0.06369915582776574
4151,3338,0.03841682842559377,0.508,0.07603815397326208,0.28316696440877126
4158,1259,0.0621624289056045,0.49,0.09665916873242464,0.5270182618483197
4158,2541,0.07609296355528113,0.499,0.11052608691977595,0.42581832865691055
4160,1259,-0.02201856916745989,0.478,0.038637283351935836,-0.15815011861655187
4160,2541,0.0338622605274179,0.498,0.07249717344278506,0.17489391412069968
4166,2541,0.07450253023470459,0.492,0.10887441601560555,0.40659556807649844
4178,1259,-0.07767236689141002,0.481,0.019003194790254585,-0.5917066987354783
4178,2541,0.035023030185135945,0.504,0.07338739973752861,0.1984429594965014
4186,1259,-0.280032952684861,0.47,0.0006985784940022333,-1.8836704608576482
4186,2541,0.34746561659459424,0.512,0.6093164040772397,1.8081548556213767
